index time band flux fluxerr zp zpsys SNR fiveSigmaDepth night DetectionEfficiency modelFlux deviation
10 49542.0 r 7.98946654473e-10 2.8200276325e-11 0.0 ab 28.3311640377 24.7 49542.0 nan 7.98946654473e-10 1.76405234597
5 49542.0 i 7.89404812831e-10 5.13081403322e-11 0.0 ab 15.3855666512 24.0 49542.0 nan 7.89404812831e-10 0.400157208367
9 49526.0 r 4.11226850514e-10 2.71488234216e-11 0.0 ab 15.1471334182 24.7 49526.0 nan 4.11226850514e-10 0.978737984106
1 49536.6666667 g 3.08444448106e-10 2.06098714091e-11 0.0 ab 14.965859902 25.0 49536.0 nan 3.08444448106e-10 2.2408931992
11 49558.0 r 3.68725876867e-10 2.70310782605e-11 0.0 ab 13.6408127457 24.7 49558.0 nan 3.68725876867e-10 1.86755799015
6 49558.0 i 5.33138248531e-10 5.08012868037e-11 0.0 ab 10.4945815761 24.0 49558.0 nan 5.33138248531e-10 -0.977277879876
22 49542.0 z 8.46814867764e-10 9.6287306595e-11 0.0 ab 8.7946677263 23.3 49542.0 nan 8.46814867764e-10 0.950088417526
4 49526.0 i 3.86335821462e-10 5.05086441787e-11 0.0 ab 7.64890500911 24.0 49526.0 nan 3.86335821462e-10 -0.151357208298
23 49558.0 z 5.25303717758e-10 9.57973532169e-11 0.0 ab 5.48348884513 23.3 49558.0 nan 5.25303717758e-10 -0.103218851794
7 49574.0 i 2.50293430654e-10 5.02359292195e-11 0.0 ab 4.982358932 24.0 49574.0 nan 2.50293430654e-10 0.410598501938
12 49574.0 r 1.14672163604e-10 2.63162607427e-11 0.0 ab 4.35746418252 24.7 49574.0 nan 1.14672163604e-10 0.144043571161
21 49526.0 z 3.79550485534e-10 9.55744112987e-11 0.0 ab 3.97125632663 23.3 49526.0 nan 3.79550485534e-10 1.45427350696
24 49574.0 z 3.66460942025e-10 9.55543642787e-11 0.0 ab 3.8351041817 23.3 49574.0 nan 3.66460942025e-10 0.761037725147
17 49542.0 y 7.35739683743e-10 2.88401186981e-10 0.0 ab 2.55109797378 22.1 49542.0 nan 7.35739683743e-10 0.121675016493
2 49563.3333333 g 4.29487658873e-11 1.98298090844e-11 0.0 ab 2.16586885453 25.0 49563.0 nan 4.29487658873e-11 0.443863232745
18 49558.0 y 4.55090243015e-10 2.88129154663e-10 0.0 ab 1.5794661375 22.1 49558.0 nan 4.55090243015e-10 0.333674327374
19 49574.0 y 3.83937886406e-10 2.88060146163e-10 0.0 ab 1.33283930985 22.1 49574.0 nan 3.83937886406e-10 1.49407907316
16 49526.0 y 3.83039313876e-10 2.88059274559e-10 0.0 ab 1.32972394124 22.1 49526.0 nan 3.83039313876e-10 -0.205158263766
14 49550.0 u 3.14752381069e-12 5.42261280939e-11 0.0 ab 0.058044413668 23.9 49550.0 nan 3.14752381069e-12 0.313067701651
